=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-9-1_20-8-41
====================================================================================
20:8:41 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:8:41 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:8:41 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:8:41 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:8:41 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:8:41 | credentials.txt was not found. The tool will not operate as intended. Please shutdown the server, and create a password within credentials.txt (Maximum 64 characters)
20:8:41 | [PermissionManager] SuperAdmins.txt File Missing...Creating Defaults. Please change SuperAdmins.txt file, and restart the server.
20:8:41 | [PermissionManager] Group: (Admins) Permission Level: (1) was created!
20:8:41 | [PermissionManager] Created default UserGroups.vpp
20:8:41 | [BansManager]:: Save(): Saving ban list!
20:8:41 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:8:41 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:8:41 | [WeatherManager] Creating Default Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:8:41 | [WeatherManager] Save to $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:8:41 | [TimeManager] Saving to $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:8:41 | [SteamAPIManager] configuration file missing...creating default.
